City,Avg_Wage,Rent,Milk,Internet,Food,Monthly_Tax,Take_Home_Pay,Total_Costs,Monthly_Surplus
Kathmandu,65000,15000,720,1300,12000,3416.67,61583.33,29020,32563.33
Lalitpur,55000,12000,690,1300,11000,1750.0,53250.0,24990,28260.0
Pokhara,48000,11000,660,1300,10000,1050.0,46950.0,22960,23990.0
Biratnagar,42000,7500,570,1300,9000,450.0,41550.0,18370,23180.0
Bharatpur,55000,10000,700,1250,10500,1750.0,53250.0,22450,30800.0
Birgunj,54000,8500,650,1200,9500,1650.0,52350.0,19850,32500.0
Butwal,53000,9500,700,1250,10500,1550.0,51450.0,21950,29500.0
Dharan,50000,8500,700,1300,11000,1250.0,48750.0,21500,27250.0
Nepalgunj,48000,7500,650,1200,9000,1050.0,46950.0,18350,28600.0
Dhangadhi,45000,7000,680,1300,9500,750.0,44250.0,18480,25770.0
Hetauda,51000,8000,700,1250,10000,1350.0,49650.0,19950,29700.0
Bhaktapur,58000,11000,720,1300,11000,2050.0,55950.0,24020,31930.0
Itahari,49000,8000,680,1200,10500,1150.0,47850.0,20380,27470.0
CrisisCity,35000,20000,800,1500,15000,350.0,34650.0,37300,-2650.0
